,section,title,author,date,address
175,[디스플레이],인베니아 자료 빼돌려 경쟁사 입사한 직원... 원익IPS는 알았나 몰랐나,이혜진 기자,2020-08-03 15:27,http://www.thelec.kr/news/articleView.html?idxno=6955
176,[뉴스],"LGD, SID 2020에서 차세대 OLED 온라인 공개",이기종 기자,2020-08-03 12:26,http://www.thelec.kr/news/articleView.html?idxno=6950
177,[뉴스],"실리콘마이터스, 차량 버추얼미러용 OLED 전력관리칩 공급",이혜진 기자,2020-08-03 12:26,http://www.thelec.kr/news/articleView.html?idxno=6952
178,[컨콜전문],LG화학 2020년 2분기 실적발표 컨퍼런스콜 전문,이수환 기자,2020-07-31 21:57,http://www.thelec.kr/news/articleView.html?idxno=6948
179,[뉴스],"D램 가격 숨고르기, 9개월 만에 하락",이혜진 기자,2020-07-31 21:48,http://www.thelec.kr/news/articleView.html?idxno=6943
180,[통신],"KT, 국내 소프트웨어 업체 4곳과 공공 DaaS 관련 MOU 체결",이종준 기자,2020-07-31 19:51,http://www.thelec.kr/news/articleView.html?idxno=6947
181,[통신],"LG유플러스, 6월 AR플랫폼 시청건수 작년말대비 2배 증가",이종준 기자,2020-07-31 19:50,http://www.thelec.kr/news/articleView.html?idxno=6946
182,[통신],"KT, 다음달 올레 tv서 넷플릭스 서비스 시작",이종준 기자,2020-07-31 19:50,http://www.thelec.kr/news/articleView.html?idxno=6945
183,[뉴스],"드림텍, '전자코 솔루션' 유럽 CE 체외진단기기 등록",이기종 기자,2020-07-31 19:49,http://www.thelec.kr/news/articleView.html?idxno=6942
184,[전자엔지니어],"키사이트, 3억3000만달러에 소프트웨어 업체 에그플랜트 인수",이종준 기자,2020-07-31 16:39,http://www.thelec.kr/news/articleView.html?idxno=6939
185,[뉴스],"서울바이오시스, 2분기 UV LED 매출 93% 증가",이기종 기자,2020-07-31 15:42,http://www.thelec.kr/news/articleView.html?idxno=6936
186,[반도체],"KLA코리아, 코로나19 구호 활동에 1억원 지원",이혜진 기자,2020-07-31 15:40,http://www.thelec.kr/news/articleView.html?idxno=6934
187,[완성품],"中화웨이, 올해 2분기 삼성전자 제치고 스마트폰 출하량 첫 1위",이종준 기자,2020-07-31 15:39,http://www.thelec.kr/news/articleView.html?idxno=6937
188,[반도체],'D램보다 강한 상승세' 낸드플래시 나홀로 두 자릿수 성장,이혜진 기자,2020-07-31 15:28,http://www.thelec.kr/news/articleView.html?idxno=6932
189,[뉴스],"한화, 지속가능 성장 위해 사업 재편",이수환 기자,2020-07-31 14:30,http://www.thelec.kr/news/articleView.html?idxno=6930
190,[뉴스],"참엔지니어링, FPD 리페어 장비 2000호기 출하",이기종 기자,2020-07-31 14:30,http://www.thelec.kr/news/articleView.html?idxno=6933
191,[뉴스],배터리 사상 최대 실적…LG화학 2분기 어닝 서프라이즈,이수환 기자,2020-07-31 14:20,http://www.thelec.kr/news/articleView.html?idxno=6931
192,[뉴스],"서울바이오시스, CGV에 '바이오레즈관' 운영",이기종 기자,2020-07-30 23:39,http://www.thelec.kr/news/articleView.html?idxno=6929
193,[뉴스],'숫자가 없는' LG전자 스마트폰 사업부 실적발표,이기종 기자,2020-07-30 20:36,http://www.thelec.kr/news/articleView.html?idxno=6926
194,[전자엔지니어],"인텔, 고효율 프로그래밍 시스템 개발",이혜진 기자,2020-07-30 20:33,http://www.thelec.kr/news/articleView.html?idxno=6927
195,[뉴스],"반도체 패키지 공장 찾은 이재용 ""머뭇거릴 시간 없다""",이수환 기자,2020-07-30 19:52,http://www.thelec.kr/news/articleView.html?idxno=6925
196,[전자엔지니어],"완전체 5G 준비 끝, 퀄컴-텔릿 밀리미터파 데이터 콜 성공",이혜진 기자,2020-07-30 19:22,http://www.thelec.kr/news/articleView.html?idxno=6923
197,[컨콜전문],LG전자 2020년 2분기 실적발표 컨퍼런스콜 전문,이기종 기자,2020-07-30 19:18,http://www.thelec.kr/news/articleView.html?idxno=6924
198,[반도체],"[삼성전자 실적전망] 메모리 수요 분위기 반전, 모바일 '맑음' 서버 '불확실성↑'",이혜진 기자,2020-07-30 18:51,http://www.thelec.kr/news/articleView.html?idxno=6921
199,[배터리],"LG화학·포스코 中합작사, 배터리 핵심소재 직접 만든다",이수환 기자,2020-07-30 18:14,http://www.thelec.kr/news/articleView.html?idxno=6922
